month,unemployment_rate,employment_rate,job_opening_rate,turnover_rate,youth_unemployment_rate,it_employment_growth
2024-10,3.4,61.3,2.7,1.3,8.0,4.7
2024-11,3.3,61.3,2.7,1.3,8.0,4.8
2024-12,3.6,60.7,2.9,1.3,9.5,5.4
2024-12,3.6,60.7,2.9,1.3,9.5,5.5
2025-01,3.6,60.7,2.9,1.3,9.5,5.5
2025-03,3.3,61.3,2.7,1.3,8.0,5.0
2025-03,3.3,61.4,2.7,1.3,7.9,5.0
2025-04,3.3,61.4,2.7,1.3,7.9,5.0
2025-05,3.3,61.4,2.7,1.3,7.9,5.1
2025-06,3.6,60.8,3.0,1.3,9.4,5.8
2025-07,3.6,60.8,3.0,1.3,9.4,5.8
2025-08,3.6,60.8,3.0,1.3,9.4,5.8
